지역,2006년 01분기,2006년 02분기,2006년 03분기,2006년 04분기,2007년 01분기,2007년 02분기,2007년 03분기,2007년 04분기,2008년 01분기,2008년 02분기,2008년 03분기,2008년 04분기,2009년 01분기,2009년 02분기,2009년 03분기,2009년 04분기,2010년 01분기,2010년 02분기,2010년 03분기,2010년 04분기,2011년 01분기,2011년 02분기,2011년 03분기,2011년 04분기,2012년 01분기,2012년 02분기,2012년 03분기,2012년 04분기,2013년 01분기,2013년 02분기,2013년 03분기,2013년 04분기,2014년 01분기,2014년 02분기,2014년 03분기,2014년 04분기,2015년 01분기,2015년 02분기,2015년 03분기,2015년 04분기,2016년 01분기,2016년 02분기,2016년 03분기,2016년 04분기,2017년 01분기,2017년 02분기,2017년 03분기,2017년 04분기,2018년 01분기,2018년 02분기,2018년 03분기,2018년 04분기,2019년 01분기,2019년 02분기,2019년 03분기,2019년 04분기,2020년 01분기,2020년 02분기,2020년 03분기,2020년 04분기,2021년 01분기,2021년 02분기,2021년 03분기,2021년 04분기,2022년 01분기,2022년 02분기,2022년 03분기,2022년 04분기,2023년 01분기
서울 종로구,58.3,57.1,59.8,65.5,70.1,71.3,71.2,74.3,76,79.5,80.8,73.4,75.6,78.8,83.4,83.1,85.9,82.1,81.5,81,84.6,85.3,85.2,84.7,83.5,84.7,82.2,79.1,81.2,81.9,82.6,81.8,82.3,83,83.6,83.2,84.8,86.3,88.4,89.9,90.3,90.5,92.5,93.6,94.7,96.1,98.6,100,103.6,105.8,110.8,114.4,116.4,115.2,119.8,123.6,126.5,128.1,134.9,140.1,143.6,150.4,153.8,154.5,158.5,158.6,142,150.2,133.7
서울 중구,60.1,61,62.6,67,71,71.2,73.1,73.6,76.5,80.5,81.5,73.8,73.1,77.5,82.3,84.6,82.4,80.1,80.5,81,83.7,82,82.9,81.7,81.1,79.6,76.6,76.9,76.6,77.6,76.9,77.5,79,79,79.7,80.5,81.9,83.8,85.2,86.6,86.1,87.7,90.1,91.7,92.7,94.3,97.7,100,105.2,110.9,119.6,124.9,120.5,122.8,127,131.6,136.1,140.7,146.1,155.7,161.4,164.1,168.9,173.8,164.3,165.3,162.6,143.2,143.2
서울 용산구,57.8,60.1,64.7,70.5,71.8,73.2,77.9,82.1,82.1,84.9,84.2,76.9,74.6,79.6,84.9,85.8,86.1,82.3,79.7,78.8,80.7,80.4,78.9,77.6,76.5,75.1,73.2,71.5,71.4,71.8,71.7,71.3,72.1,71.9,72.5,74.1,75.2,77.4,79.9,81.6,81.5,82.6,85.6,87.9,88.2,91,97,100,106.9,115.4,124.1,125,123.2,124.4,130.5,137.5,140.3,139.5,149,155.1,163.1,168.2,182.7,192.7,191.4,192.2,185.5,172.6,160
서울 성동구,56.9,59.1,61.5,66.8,73.4,72.9,73.9,73.5,74.9,77.7,77.1,69.1,69.1,72.7,76.1,76.4,76.3,73.9,72.5,72.8,74.4,73.6,73.1,72.6,71.2,70.3,68.1,67,67.6,67.9,68.1,68.9,70.1,70.2,70.5,71.6,73,75.1,77.4,78.9,79.6,80.6,83.7,86.6,86.5,90,95.5,100,109,116.8,123.3,127.6,123,124.7,130.6,138.1,147,151.4,163.1,173.6,183.9,190.2,200.2,203.4,200.2,201.9,182.1,161.7,158.9
서울 광진구,57.8,60.3,63.5,72.5,76.7,73.7,75.9,75.8,77.5,80.5,80.5,71.2,72.5,77.3,81.9,82.2,82.8,80.1,78.1,79.6,81.7,81.4,80.5,79.4,78.3,77,75.2,74.8,75.4,75.3,75.6,76.7,77.7,77.8,79.1,80.1,81.4,83.1,84.4,84.9,84.5,85.6,87.6,89.4,88.9,90.8,95.1,100,107.9,111.5,117.7,121,114.5,116.9,123.6,133.3,141.1,142.7,154,163.2,170.7,177.1,186.1,188.1,183.6,173.5,171.2,156.9,149.7
서울 동대문구,59.1,59.3,60.7,64.5,71,72.7,74.5,76.2,79.4,85.1,87.2,80.1,79,81.6,85.6,85.3,85.8,83,81.8,81.9,84.1,83.9,83.6,83,82.1,80.5,78.6,77.3,77,77.3,77.6,78.8,80.1,80.3,81.1,81.6,83,85,87.2,88.5,88.6,89.2,91.4,92.9,93,94.4,97.6,100,105.3,112.2,120.3,127,123.5,124.6,127.8,132.1,139.8,145.6,155.4,165.5,174.8,179.4,188.3,185.9,183.1,183.7,168.3,149.3,145.8
서울 중랑구,55.7,56.3,57.1,62.4,68.2,69.6,72.1,74.5,79.7,89,92.4,83.8,81.9,85.5,89.8,90.3,90.4,88.1,85.8,85.7,87.8,87.8,87,86.7,85.9,83.9,82.5,81.2,81.2,81.4,81.2,82.3,83,82.9,83.2,83.3,85.1,87.7,90.5,91.2,90.9,91.3,93.2,94.7,94.9,96.3,98.6,100,101.9,104.4,111.2,118.2,118.5,118.8,121.9,126.3,132.4,138.4,152.5,162.2,170.5,178.1,190.6,195.4,180.4,186.5,179.3,160.5,155.1
서울 성북구,60.1,60.9,62.5,67.5,74,75.7,77.7,78.6,83.1,89.1,90.4,83.8,81.2,83.8,86.9,87,86.3,83.4,80.4,81.9,84.9,84.8,84.6,83.4,82.6,80.5,78.4,78,77.6,78.1,78.8,80,80.9,81.3,81.7,82.6,83.9,86.1,89.1,91.2,90.9,91.6,93.8,95.9,95.5,96.4,98.6,100,102.5,107.8,115.9,126.1,121.4,120.6,124.9,130.8,140.1,148.2,163.2,174.8,181.8,187.6,196.3,198.3,188.8,190.3,172.3,151.9,149.8
서울 강북구,56.3,56.3,57.3,63.2,70.2,72.3,75.2,80.6,86.2,93.6,96.7,89,84.5,87.6,92.1,92.4,90.8,87.6,83.8,84.6,87.9,87.7,87.5,86.8,85,83.9,81.4,80.9,80.8,81.4,82.2,83.1,83.2,83.6,84,84.3,85.6,87.7,90.2,91.8,91.8,92.1,94.4,96.6,96.1,96.9,98.9,100,100.9,103.3,110.4,119.5,114.6,114.9,117.6,119.9,127.1,135.5,149,160.4,168.1,173.4,181.3,183.6,177.2,179.3,164.3,144.8,143.6
서울 도봉구,53.2,53.2,54.4,60,69.1,71.1,73.6,76.1,82.8,94.9,96,86.1,84,87.7,93.7,92.7,91.6,87.1,83.3,84.6,87,85.8,85.5,84.4,83.3,80.5,78.3,77.6,77.4,77.8,78.8,79.7,80.3,80.1,80.9,81.6,82.7,84.4,86.7,88.3,88.1,89.2,91.9,94.1,93.1,95.1,99.4,100,101.1,102.5,108.9,118,116.2,115.9,118.6,122,126.5,130.6,146.6,159.9,174.9,183.7,198.9,199.1,189.9,192.9,171.6,149.1,148.5
